GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
search-demo,com.example.demo.controllers,OrderController,14,6,0,0,3,3,2,1,2,1
search-demo,com.example.demo.controllers,ExternalController,4,6,0,0,1,3,1,1,1,1
search-demo,com.example.demo.controllers,SimpleTestController,7,0,0,0,3,0,3,0,3,0
search-demo,com.example.demo.controllers,CustomerController,28,27,0,0,6,7,5,4,5,4
search-demo,com.example.demo.aop,LoggingAspect,17,154,5,7,3,28,5,7,0,6
search-demo,com.example.demo.service,ExternalApiService,13,7,0,0,5,3,1,1,1,1
search-demo,com.example.demo.service,OrderService,64,9,0,0,12,4,4,1,4,1
search-demo,com.example.demo.service,CustomerService,118,84,7,1,20,15,13,5,9,5
search-demo,com.example.demo.exception,GlobalExceptionHandler,77,3,2,0,10,1,4,1,3,1
search-demo,com.example.demo.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
search-demo,com.example.demo.exception,ApiError,242,0,40,0,8,0,36,0,16,0
search-demo,com.example.demo.entity,Customer,19,37,0,0,2,6,5,5,5,5
search-demo,com.example.demo.entity,OrderEntity,53,3,0,0,7,1,11,1,11,1
search-demo,com.example.demo.config,CustomerConfiguration,0,68,0,0,0,9,0,2,0,2
search-demo,com.example.demo,SpringbootDemoApplication,5,3,0,0,2,1,1,1,1,1
search-demo,com.example.demo.dto,CustomerResponse,146,21,30,0,2,4,23,4,8,4
search-demo,com.example.demo.dto,CustomerUpdateRequest,124,0,22,0,5,0,21,0,10,0
search-demo,com.example.demo.dto,CustomerPatchRequest,124,0,22,0,5,0,21,0,10,0
search-demo,com.example.demo.dto,CustomerSearchResponse,160,33,22,0,2,6,21,6,10,6
search-demo,com.example.demo.dto,OrderCreateRequest,36,0,0,0,6,0,8,0,8,0
search-demo,com.example.demo.dto,CustomerCreateRequest,107,17,22,0,1,4,16,5,5,5
search-demo,com.example.demo.dto,OrderResponse,253,0,46,0,8,0,39,0,16,0
